Field=#~Integer~#~50|Field=Line #~String~Line #~52|Field=Name~String~Name~122|Field=Description~String~Description~80|Field=Designator~String~Designator~78|Field=Value~String~Value~63|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer PartNo 1~String~Manufacturer PartNo 1~138|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~145|Field=Supplier 1~String~Supplier 1~73|Field=Supplier PartNo 1~String~Supplier PartNo 1~111|Field=Actual Price 1~Float~Actual Price 1~89|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~120|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Slave_brd.PrjPCB|ReportField=ProjectFullPath~C:\Users\Carlo\Documents\git\rfDOMOTIC\HW\Board\Slave\Slave_brd.PrjPCB|ReportField=Title~Bill of Materials For BOM Document [Slave_brd.BomDoc]|ReportField=ReportTime~21:00:42|ReportField=ReportDate~01/07/2019|ReportField=ReportDateTime~01/07/2019 21:00:42|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~93|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~01/07/2019|ReportField=CurrentTime~20:27:10|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Carlo\Documents\git\rfDOMOTIC\HW\Board\Slave\Actuation.SchDoc|ReportField=DocumentName~Actuation.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~21/06/2019|ReportField=Organization~|ReportField=ProjectName~Slave_brd.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~4|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Slave_brd.BomDoc|ReportField=DataSourceFullPath~C:\Users\Carlo\Documents\git\rfDOMOTIC\HW\Board\Slave\Slave_brd.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||Battery|Header, 2-Pin|Jp1||{URL}{URL.TEXT}{URL.TIP}Component||||||
2||Cap|Capacitor|Cc25|DNP|{URL}{URL.TEXT}{URL.TIP}Component||||||
3||Cap|Capacitor|Cc26|DNP|{URL}{URL.TEXT}{URL.TIP}Component||||||
4||Cap|Capacitor|Cc27|DNP|{URL}{URL.TEXT}{URL.TIP}Component||||||
5||CC2650F128RHBR|MCU 32-bit CC26xx ARM Cortex M3 RISC 128KB Flash 2.5V/3.3V Medical 32-Pin VQFN EP T/R|Uc1||{URL}{URL.TEXT}{URL.TIP}Component||||||
6||LinePWR|Header, 3-Pin|Jp2||{URL}{URL.TEXT}{URL.TIP}Component||||||
7||32.768 kHz|Crystal Oscillator|Yc1||{URL}{URL.TEXT}Abracon{URL.TIP}Component|AB38T-32.768KHZ|Volume Production||||
8||3709|Header, 5-Pin|Js1||{URL}{URL.TEXT}Adafruit%20Industries{URL.TIP}Component|3709|Unknown||||
9||Res1|Resistor|Rc1|100K|{URL}{URL.TEXT}Bourns{URL.TIP}Component|CR0603-JW-104ELF|Volume Production||||
10||Res1|Resistor|Rp2|100K|{URL}{URL.TEXT}Bourns{URL.TIP}Component|CR0603-JW-104ELF|Volume Production||||
11||Res1|Resistor|Rp3|100K|{URL}{URL.TEXT}Bourns{URL.TIP}Component|CR0603-JW-104ELF|Volume Production||||
12||SJ1-2503A||Js2||{URL}{URL.TEXT}CUI{URL.TIP}Component|SJ1-2503A|Volume Production||||
13||ECS-240-18-20BQ-DS|MHz Range Crystal Unit Miniature Size Low Profile SMD|Yc2||{URL}{URL.TEXT}ECS%20International{URL.TIP}Component|ECS-240-18-20BQ-DS|Volume Production||||
14||SW SPST||SWc1||{URL}{URL.TEXT}ITT%20C%26K{URL.TIP}Component|PTS645SM43SMTR92LFS|Volume Production||||
15||SW SPST||SWc2||{URL}{URL.TEXT}ITT%20C%26K{URL.TIP}Component|PTS645SM43SMTR92LFS|Volume Production||||
16||Inductor|Inductor|Lc4|2nH|{URL}{URL.TEXT}Johanson{URL.TIP}Component|L-14W2N0CV4E|Volume Production||||
17||Inductor|Inductor|Lc5|2nH|{URL}{URL.TEXT}Johanson{URL.TIP}Component|L-14W2N0CV4E|Volume Production||||
18||Cap|Capacitor|Cc10|12pF|{URL}{URL.TEXT}KEMET{URL.TIP}Component|C0603C120J5GACTU|Volume Production||||
19||Cap|Capacitor|Cc18|12pF|{URL}{URL.TEXT}KEMET{URL.TIP}Component|C0603C120J5GACTU|Volume Production||||
20||Cap|Capacitor|Cc9|12pF|{URL}{URL.TEXT}KEMET{URL.TIP}Component|C0603C120J5GACTU|Volume Production||||
